Yalkuri,-39.6,139.11667
Yalkra Well,-24.58333,114.15
Yalkalya Dam,-23.6,114.55
Yalgowra,-27,117.95
Yalgoo Spring,-22.96667,115.25
Yalgoo,-28.33333,116.68333
Yalgarra Well,-27.3,115.65
Yalgarra Spring,-27.55,115.48333
Yalgar Pool,-26.11667,117.95
Yalganimirra Rockhole,-31.68333,127.71667
Yalgamine Well,-27.55,115.38333
Yalgamine Creek,-27.51667,115.23333
Yalga,-31.4,121.91667
Yalco Creek,-16.21667,135.9
Yalbra,-25.68333,116.25
Yalbra,-25.6,116.2
Yalbarrin,-31.95,118.11667
Yalbalgo,-25.18734,114.6794
Yalanda Reservoir,-33.28333,136.71667
Yalanda Hill,-33.3,136.7
Yaladthulgo Springs,-25.11667,119.16667
Yalading Pool,-20.71667,120.63333
Yalabidie Well,-24.6,113.5
Yakoorga Rockhole,-31.8,128.35
Yakabindie,-27.63333,120.55
Yagar Rockhole,-28.51667,118.66667
Yaganoo,-26.58333,119.11667
Yagahong,-26.88333,118.65
Yadnarie Creek,-33.78333,136.4
Yadlamalka,-32.03333,137.88333
Yadina Rockhole,-29.96667,131.4
Yadgymurrin Creek,-25.36667,119.95
Yadgena Hill,-30.68333,116.16667
Yadgena Brook,-30.66667,115.98333
Yaddemooga Hills,-26.36667,117.21667
Yadadinia Rockhole,-32.45,123.58333
Yadacootea Well,-27.7,118.38333
Yacko Hill,-32.13333,138.73333
Yacke Yackine Dam,-30.31667,119
Yackelup Creek,-34.18333,116.51667
Yackara Creek,-32.31667,138.46667
Yackan Yarra Well,-28.25,118.31667
Yackamunda Waterhole,-16.98333,138.7
Yackamoorundie Creek,-33.4,138.18333
Yacka,-33.56667,138.43333
Yabooma Island,-12.037,134.9482
Yabmana Reservoir,-33.65,136.68333
Yabmana Creek,-33.8,136.8
Yabmana,-33.66667,136.7
Yabilyah Spring,-24.6,114.93333
Yabboo Well,-26.68333,116.85
Yabboo Hill,-29.81667,122.56667
Yabberup,-33.53333,116
Yabba Well,-24.66667,114.93333
Yabbagoody Claypan,-17.33333,123.71667
Yaaringiree,-35.48333,138.98333
Yaalup Lagoon,-33.75,118.58333
Xmas Well,-26.28333,135.23333
Xmas Creek,-18.85,136.71667
