Country Name,IsCountry,Country Code,Region,Population Total,Population Density (people per sq. km of land area),Population Growth (%),Population Urban (% of total),Birth Rate (per 1000 people),Death Rate (per 1000 people),Life Expectancy (years),Migration,Literacy Rate (% of people ages 15+),Unemployment (% of labor force),Land Area (sq. km),GDP,GDP per Capita,GDP Growth (%),Trade (% of GDP),Debt Total,Debt per Captia,Debt per GDP (%),Internet Users,Internet Rate (per 100 people),Electricity Rate (% of population),Electricity Production (kWh),Electricity Coal (kWh),Electricity Water,Electricity Gas,Electricity Nuclear,Electricity Oil,Electricity Renewable,Emissions CO2 (kg per PPP $ of GDP),Roads Density (km of road per 100 sq. km),Roads Passengers (mln passenger-km),Air Passengers,Railways Passengers (mln passenger-km),Motor Vehicles (per 1000 people),Hospital Beds (per 1000 people),Telephone Lines (per 100 people),Mobile Phones (per 100 people),Armed Forces Rate (% of labor force),Armed Forces Total
Mexico,yes,MEX,North America,120847477,61,1.25,78,19,4.49,77,-1200000,94,4.9,1940000,1.19E+12,9818,5.11,66,3.53E+11,1956,20,12717139,10.5,,2.96E+11,34132000000,36266000000,1.56E+11,10089000000,48371000000,46964000000,0.256,18.9,452000,32900000,449,269,1.5,17,78,0.62,330000
Mexico and Central America,no,MCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,yes,FSM,Oceania,103395,148,-0.35,23,24,6.25,69,-8190,,,700,326160961,3155,2.53,,60800000,556,25,,,,,,,,,,,0.303,,,,,,,8.12,27,,
Middle East & North Africa (all income levels),no,MEA,,395316900,34,2.01,63,23,5.4,72,963000,,10.7,11200000,3.46E+12,8754,5.49,95,,,,14516989,4,95,1.19E+12,47295000000,35731000000,7.31E+11,359000000,2.81E+11,38970000000,0.357,11,,175000000,1700,,,16.9,93,2.94,3990000
Middle East & North Africa (developing only),no,MNA,,339560601,38,1.75,60,24,5.77,71,-1630000,,12.06,8640000,1.60E+12,4698,5.09,,,,,9053770,2.94,94,6.54E+11,12104000000,35703000000,4.21E+11,359000000,1.67E+11,38692000000,0.344,10.1,,51000000,1700,,,16.1,82,3.1,3400000
Middle East and North Africa (IFC classification),no,CME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,no,MIC,,4913580797,76,1.16,50,19,7.57,70,-12700000,,5.56,63300000,2.25E+13,4582,7.68,60,,,,292446243,5.96,85,9.79E+12,5.30E+12,1.90E+12,1.50E+12,3.07E+11,4.49E+11,2.16E+12,0.425,30.5,,989000000,1830,,2.32,12.3,74,0.76,17300000
Moldova,yes,MDA,Europe,3559519,124,-0.1,48,12,13.9,69,-103000,99,5.6,32900,7284686576,2047,7.09,127,5167000000,1296,79,417177,11.9,,5786000000,,352000000,5414000000,,20000000,352000000,0.355,37.9,2420,544000,347,156,6.19,34.3,71,0.65,7750
Monaco,yes,MCO,Europe,37579,18400,1.45,100,,,,,,,2,,,,,16500000000,471428,240,16258,43.3,,,,,,,,,,3850,18,65400,,843,16.5,122,64,,
Mongolia,yes,MNG,Asia,2796484,2,1.5,69,23,6.81,67,-15000,,5.2,1550000,10321968595,3691,6.37,128,2070000000,686,41,104867,3.75,86,4753000000,4520000000,,,,233000000,,0.668,,1480,626000,1400,,6.75,6.32,93,1.35,17200
Montenegro,yes,MNE,Europe,621081,46,0.11,64,12,10.2,74,-2500,,19.6,13500,4045813953,6514,2.5,113,1200000000,939,24,69608,11.2,,2656000000,1452000000,1204000000,,,,1204000000,0.312,56.2,81,545000,,298,4,27.3,189,4.84,12200
