Date,Open,High,Low,Close,Volume
23-6-2008,28.3,28.41,27.79,27.97,56493900
20-6-2008,28.9,28.92,28.1,28.23,93218500
19-6-2008,28.55,29.19,28.33,28.93,60862600
18-6-2008,28.55,28.86,28.46,28.46,48595000
17-6-2008,29.04,29.12,28.79,28.8,43309100
16-6-2008,29.02,29.11,28.64,28.93,70928300
13-6-2008,28.63,29.57,28.5,29.07,27509000
12-6-2008,27.4,28.55,27.19,28.24,12083900
11-6-2008,27.85,27.94,27.11,27.12,56533600
10-6-2008,27.36,28.29,27.32,27.89,75927900
9-6-2008,27.65,27.91,27.3,27.71,66484000
6-6-2008,27.99,28.17,27.49,27.49,77389200
5-6-2008,27.72,28.3,27.6,28.3,73743200
4-6-2008,27.28,27.64,27.2,27.54,78312300
3-6-2008,27.91,28.31,27.27,27.31,81776600
2-6-2008,28.24,28.36,27.55,27.8,76591800
30-5-2008,28.38,28.7,28.2,28.32,59716400
29-5-2008,28.21,28.68,28.14,28.31,47102200
28-5-2008,28.56,28.57,28.04,28.18,51598100
27-5-2008,28.11,28.5,28.05,28.44,46177500
23-5-2008,28.26,28.33,27.95,28.05,48195500
22-5-2008,28.28,28.7,28.18,28.47,51665100
21-5-2008,28.81,29.05,28.19,28.25,58177400
20-5-2008,29.3,29.31,28.63,28.76,75128600
19-5-2008,29.87,29.89,29.31,29.46,58486800
16-5-2008,30.47,30.48,29.92,29.99,73242600
15-5-2008,29.98,30.53,29.94,30.45,52765700
14-5-2008,29.89,30.26,29.73,29.93,66331900
13-5-2008,30,30.13,29.53,29.78,69783500
12-5-2008,29.4,30.06,29.35,29.99,63305700
9-5-2008,29.21,29.55,28.95,29.39,51117700
8-5-2008,29.28,29.39,29,29.27,67980300
7-5-2008,29.69,30.14,29.08,29.21,88132800
6-5-2008,29,29.86,28.93,29.7,88534400
5-5-2008,29.93,30.23,28.99,29.08,5581200
2-5-2008,29.59,29.62,28.86,29.24,64503200
1-5-2008,28.5,29.49,28.48,29.4,70561700
30-4-2008,28.74,29.21,28.51,28.52,71063300
29-4-2008,28.8,28.9,28.45,28.64,83431100
28-4-2008,29.8,29.84,28.82,28.99,96583600
25-4-2008,30.05,30.39,29.6,29.83,40388800
24-4-2008,31.63,32.1,31.16,31.8,4044300
23-4-2008,30.45,31.46,30.3,31.45,96236800
22-4-2008,30.64,30.7,29.97,30.25,66134100
21-4-2008,30.19,30.6,30.12,30.42,53251400
18-4-2008,30.01,30.1,29.61,30,70651200
17-4-2008,29.12,29.34,28.9,29.22,46947000
16-4-2008,28.57,29.05,28.38,28.95,53146000
15-4-2008,28.12,28.48,28.03,28.25,31267200
14-4-2008,28.24,28.31,27.93,28.06,43040100
11-4-2008,28.87,29.01,28.21,28.28,48384700
10-4-2008,28.83,29.4,28.8,29.11,64374500
9-4-2008,28.72,29.04,28.54,28.89,40280000
8-4-2008,28.94,29,28.54,28.75,43917200
7-4-2008,29.55,29.59,29.03,29.16,43600500
4-4-2008,29.13,29.26,28.74,29.16,42185200
3-4-2008,29,29.32,28.8,29,38241900
2-4-2008,29.56,29.58,29,29.16,48996300
1-4-2008,28.83,29.54,28.63,29.5,64524200
31-3-2008,27.88,28.59,27.84,28.38,44805500
28-3-2008,28.23,28.43,27.83,27.91,47429700
27-3-2008,28.48,28.49,28,28.05,46753900
26-3-2008,29.03,29.07,28.38,28.56,43459400
25-3-2008,29.33,29.37,28.94,29.14,48434000
24-3-2008,29.33,29.4,29.06,29.17,46864700
20-3-2008,28.74,29.22,28.59,29.18,58340600
19-3-2008,29.38,29.59,28.62,28.62,60585100
18-3-2008,28.67,29.48,28.67,29.42,81582300
17-3-2008,27.3,28.73,27.28,28.3,81765900
14-3-2008,28.72,29.01,27.64,27.96,3765800
13-3-2008,28.54,28.99,28.16,28.62,83537300
12-3-2008,29.43,29.49,28.54,28.63,73110800
11-3-2008,28.4,29.34,28.38,29.28,93596900
10-3-2008,27.83,28.26,27.75,28.05,71148800
7-3-2008,27.34,28.07,27.32,27.87,76707100
6-3-2008,28.06,28.17,27.5,27.57,90379900
5-3-2008,27.75,28.41,27.7,28.12,3695700
4-3-2008,27.02,27.63,26.96,27.59,84548900
3-3-2008,27.24,27.39,26.87,26.99,72007500
29-2-2008,27.69,27.83,27.02,27.2,12960600
28-2-2008,28.02,28.27,27.8,27.93,80901000
27-2-2008,28.19,28.68,28.1,28.26,74433800
26-2-2008,27.74,28.86,27.67,28.38,98503400
25-2-2008,27.65,28.24,27.48,27.84,9265500
22-2-2008,28.24,28.39,27.2,27.68,23972200
