eqid,lon,region,depth,src,nst,version,datetime,lat,magnitude
2010zuda,167.195099999999000,Vanuatu,202.199999999999000,us,62,6,Tue Aug 10 00:00:00 -0400 2010,-14.480700000000000,5.800000000000000
2010zval,167.578100000000000,Vanuatu,35.000000000000000,us,19,6,Tue Aug 10 00:00:00 -0400 2010,-17.878900000000000,5.200000000000000
2010zua1,167.718600000000000,Vanuatu,35.000000000000000,us,23,7,Tue Aug 10 00:00:00 -0400 2010,-17.640400000000000,4.800000000000000
2010zva8,20.600999999999900,Greece,10.000000000000000,us,47,7,Wed Aug 11 00:00:00 -0400 2010,39.417400000000000,4.400000000000000
2010vrbb,-72.358900000000000,"Bio-Bio, Chile",35.000000000000000,us,63,6,Thu Apr 29 00:00:00 -0400 2010,-36.491199999999900,4.900000000000000
2010vrau,141.188500000000000,"near the east coast of Honshu, Japan",48.000000000000000,us,14,6,Thu Apr 29 00:00:00 -0400 2010,36.834499999999900,4.500000000000000
2010zvcu,154.102800000000000,"Bougainville region, Papua New Guinea",125.400000000000000,us,101,6,Wed Aug 11 00:00:00 -0400 2010,-5.431100000000000,5.500000000000000
2010vrah,128.564500000000000,Banda Sea,321.800000000000000,us,36,7,Wed Apr 28 00:00:00 -0400 2010,-6.316600000000000,4.700000000000000
2010zwab,-72.308700000000000,central Peru,43.200000000000000,us,79,6,Wed Aug 11 00:00:00 -0400 2010,-11.985200000000000,5.000000000000000
2010vrac,167.066900000000000,Vanuatu,200.400000000000000,us,42,6,Wed Apr 28 00:00:00 -0400 2010,-13.238600000000000,5.100000000000000
2010zva4,55.751399999999900,southern Iran,10.199999999999900,us,18,6,Wed Aug 11 00:00:00 -0400 2010,26.982800000000000,4.300000000000000
2010zwah,167.885099999999000,Vanuatu,35.000000000000000,us,17,6,Wed Aug 11 00:00:00 -0400 2010,-17.890599999999900,4.900000000000000
2010uwa4,99.157200000000000,"northern Sumatra, Indonesia",35.000000000000000,us,18,6,Thu Apr 08 00:00:00 -0400 2010,1.914900000000000,4.400000000000000
2010zwai,-179.275399999999000,Fiji region,637.500000000000000,us,107,6,Wed Aug 11 00:00:00 -0400 2010,-21.088899999999900,4.800000000000000
2010vcbq,-96.388499999999900,Oklahoma,10.300000000000000,us,24,7,Thu Apr 15 00:00:00 -0400 2010,34.788699999999900,3.200000000000000
2010zvcn,166.494000000000000,Santa Cruz Islands,34.899999999999900,us,21,6,Wed Aug 11 00:00:00 -0400 2010,-12.910399999999900,4.900000000000000
2010zwae,27.587599999999900,western Turkey,10.000000000000000,us,28,6,Wed Aug 11 00:00:00 -0400 2010,39.676099999999900,4.400000000000000
