Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NYSE,FPI,Farmland Partners Inc.,271.82M,2014,Consumer Services,Real Estate Investment Trusts
NYSE,FPI^B,Farmland Partners Inc.,N/A,N/A,N/A,N/A
NYSE,FBK,FB Financial Corporation,1.26B,2016,Finance,Major Banks
NYSE,FFG,FBL Financial Group Inc.,1.98B,1996,Finance,Life Insurance
NYSE,FCB,FCB Financial Holdings Inc.,2.87B,2014,Finance,Major Banks
NYSE,AGM,Federal Agricultural Mortgage Corporation,969.96M,N/A,Finance,Finance Companies
NYSE,AGM.A,Federal Agricultural Mortgage Corporation,N/A,N/A,N/A,N/A
NYSE,AGM^A,Federal Agricultural Mortgage Corporation,N/A,N/A,N/A,N/A
NYSE,AGM^B,Federal Agricultural Mortgage Corporation,N/A,N/A,N/A,N/A
NYSE,AGM^C,Federal Agricultural Mortgage Corporation,N/A,N/A,N/A,N/A
NYSE,FRT,Federal Realty Investment Trust,8.58B,N/A,Consumer Services,Real Estate Investment Trusts
NYSE,FRT^C,Federal Realty Investment Trust,N/A,N/A,N/A,N/A
NYSE,FSS,Federal Signal Corporation,1.45B,N/A,Capital Goods,Auto Manufacturing
NYSE,FII,Federated Investors Inc.,2.52B,1998,Finance,Investment Managers
NYSE,FMN,Federated Premier Municipal Income Fund,152.23M,2002,N/A,N/A
NYSE,FDX,FedEx Corporation,66.93B,N/A,Transportation,Air Freight/Delivery Services
NYSE,RACE,Ferrari N.V.,32.19B,2015,Capital Goods,Auto Manufacturing
NYSE,FGP,Ferrellgas Partners,357.52M,1994,Consumer Services,Other Specialty Stores
NYSE,FOE,Ferro Corporation,1.76B,N/A,Basic Industries,Paints/Coatings
NYSE,FG,FGL Holdings,1.89B,2017,Finance,Life Insurance
NYSE,FG.WS,FGL Holdings,N/A,N/A,N/A,N/A
NYSE,FCAU,Fiat Chrysler Automobiles N.V.,43.79B,2014,Capital Goods,Auto Manufacturing
NYSE,FBR,Fibria Celulose S.A.,10.63B,1997,Basic Industries,Paper
NYSE,FNF,Fidelity National Financial Inc.,10.56B,2014,Finance,Specialty Insurers
NYSE,FIS,Fidelity National Information Services Inc.,34.38B,N/A,Miscellaneous,Business Services
NYSE,FMO,Fiduciary/Claymore MLP Opportunity Fund,426.35M,2004,N/A,N/A
NYSE,FAF,First American Corporation (The),6.05B,N/A,Finance,Specialty Insurers
NYSE,FBP,First BanCorp.,1.72B,N/A,Finance,Major Banks
NYSE,FCFS,First Cash Inc.,4.2B,1991,Consumer Services,Other Specialty Stores
NYSE,FCF,First Commonwealth Financial Corporation,1.58B,N/A,Finance,Major Banks
NYSE,FDC,First Data Corporation,18.17B,2015,Miscellaneous,Business Services
NYSE,FHN,First Horizon National Corporation,6.32B,N/A,Finance,Major Banks
NYSE,FHN^A,First Horizon National Corporation,N/A,N/A,N/A,N/A
NYSE,FR,First Industrial Realty Trust Inc.,3.87B,1994,Consumer Services,Real Estate Investment Trusts
NYSE,AG,First Majestic Silver Corp.,1.21B,N/A,Basic Industries,Precious Metals
NYSE,FRC,FIRST REPUBLIC BANK,16.15B,N/A,N/A,N/A
NYSE,FRC^D,FIRST REPUBLIC BANK,N/A,N/A,N/A,N/A
NYSE,FRC^E,FIRST REPUBLIC BANK,N/A,N/A,N/A,N/A
NYSE,FRC^F,FIRST REPUBLIC BANK,N/A,N/A,N/A,N/A
NYSE,FRC^G,FIRST REPUBLIC BANK,N/A,N/A,N/A,N/A
NYSE,FRC^H,FIRST REPUBLIC BANK,N/A,N/A,N/A,N/A
NYSE,FFA,First Trust,310.38M,2004,N/A,N/A
NYSE,FMY,First Trust,56.37M,2005,N/A,N/A
NYSE,FDEU,First Trust Dynamic Europe Equity Income Fund,297.23M,2015,N/A,N/A
NYSE,FIF,First Trust Energy Infrastructure Fund,285.89M,2011,N/A,N/A
NYSE,FSD,First Trust High Income Long Short Fund,446.81M,2010,N/A,N/A
NYSE,FPF,First Trust Intermediate Duration Preferred & Income Fund,1.33B,2013,N/A,N/A
NYSE,FEI           ,First Trust MLP and Energy Income Fund,593.55M,2012,N/A,N/A
